f1,f2,mean_abs_interaction
patch_num_hunks,repo_top_level_dir_count,0.009822095534722262
patch_lines_deleted,patch_hunk_gap_mean,0.006659373811809136
patch_num_hunks,patch_lines_added,0.005524849759814043
patch_num_hunks,patch_lines_deleted,0.005449565853940759
patch_lines_deleted,repo_top_level_dir_count,0.005212290983874006
patch_num_hunks,patch_hunk_gap_mean,0.004252996624726127
patch_lines_deleted,patch_lines_added,0.004073442500986813
patch_num_hunks,repo_dir_count,0.003955374109898132
patch_num_hunks,repo_mean_known_file_size,0.003756698830169934
patch_lines_deleted,repo_test_ratio,0.003172532183266588
patch_hunk_gap_mean,patch_lines_added,0.003118062884336464
repo_dir_count,repo_total_known_size,0.0028651639278624375
patch_lines_deleted,repo_mean_known_file_size,0.002779023518253464
patch_lines_deleted,repo_mean_file_depth,0.002702233715419714
patch_lines_deleted,repo_dir_count,0.002572325051849186
patch_num_hunks,repo_test_ratio,0.002542949397558005
repo_top_level_dir_count,patch_lines_added,0.002493254556844534
patch_num_hunks,repo_total_known_size,0.0024885669624725958
patch_num_hunks,repo_mean_file_depth,0.0024851904392681006
patch_num_hunks,repo_python_file_count,0.0024794372574566048
repo_top_level_dir_count,repo_mean_file_depth,0.0024526807202763204
repo_dir_count,repo_basename_collision_count,0.002438034685998875
patch_lines_deleted,repo_total_known_size,0.002274731192084468
patch_num_hunks,repo_basename_collision_count,0.00217963531115417
patch_lines_deleted,patch_edit_fragmentation,0.0021050797733354483
repo_top_level_dir_count,repo_mean_known_file_size,0.002082552866433844
patch_lines_deleted,repo_python_file_count,0.002059242097404093
repo_dir_count,repo_has_tests_dir,0.002046663717103428
repo_top_level_dir_count,repo_python_file_count,0.0020337143244299476
patch_num_hunks,repo_file_count,0.002033371298418652
patch_hunk_gap_mean,repo_python_file_count,0.002001623311724868
patch_num_hunks,prompt_sent_count,0.0019415270807318916
repo_python_file_count,repo_file_count,0.0019104636739999065
repo_top_level_dir_count,patch_edit_fragmentation,0.0018737379862532365
patch_lines_deleted,repo_file_count,0.001800041019830365
patch_hunk_gap_mean,repo_dir_count,0.0017915968515692696
patch_hunk_gap_mean,repo_mean_known_file_size,0.0017885151015944818
patch_hunk_gap_mean,repo_total_known_size,0.0017838470990389752
repo_total_known_size,repo_test_ratio,0.001759013188197016
repo_dir_count,repo_file_count,0.0017463530936881343
patch_lines_added,repo_test_ratio,0.0017302027927620985
repo_top_level_dir_count,repo_file_count,0.0016837130120723645
repo_top_level_dir_count,repo_basename_collision_count,0.0016822656178437326
patch_num_hunks,patch_python_files_changed,0.0016318062230064232
repo_top_level_dir_count,repo_total_known_size,0.0015933810267035485
patch_hunk_gap_mean,repo_test_ratio,0.0015909551427599057
patch_num_hunks,patch_edit_fragmentation,0.0015796963406633704
repo_top_level_dir_count,repo_dir_count,0.001576931593607362
patch_num_hunks,repo_test_file_count,0.0015639275898953005
patch_num_hunks,prompt_mean_competing_dependents_per_head,0.0015545569692955198
patch_hunk_gap_mean,repo_top_level_dir_count,0.0015385455188747202
patch_lines_added,repo_dir_count,0.0014813964803802987
patch_lines_deleted,repo_basename_collision_count,0.0014728811530769841
repo_total_known_size,repo_basename_collision_count,0.00145276800369889
prompt_dep_distance_mean,prompt_dep_distance_max,0.00138625474714376
repo_mean_known_file_size,patch_edit_fragmentation,0.0013755542985028682
repo_dir_count,repo_mean_known_file_size,0.0013721464936755998
patch_lines_added,patch_python_files_changed,0.0013680956842434654
repo_top_level_dir_count,repo_test_ratio,0.001360635763773614
patch_lines_added,repo_mean_file_depth,0.0013564445322349628
repo_total_known_size,repo_mean_file_depth,0.001333198500410956
patch_lines_added,repo_basename_collision_count,0.0013224209299690047
repo_mean_known_file_size,repo_python_file_count,0.0012879710773477616
repo_dir_count,repo_mean_file_depth,0.0012753776459702962
patch_lines_added,repo_total_known_size,0.0012621240147699536
repo_mean_known_file_size,repo_mean_file_depth,0.0012085413176423168
repo_dir_count,repo_python_file_count,0.0011660772277484177
